id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
70820,City View - Sarah's double room.,360195,Sarah,,Windmill Hill,51.43994,-2.59173,Private room,41,3,179,2022-09-22,1.60,5,0,19,
117122,City Centre-Waterside Retreat,591555,Marcus,,Clifton,51.45051,-2.61054,Private room,96,1,172,2022-12-11,1.23,1,357,18,
176306,The White Room -  Central Bristol Art House Garden,708175,Orla,,Bedminster,51.44101,-2.60121,Private room,32,5,43,2022-11-23,0.35,1,33,4,
307634,"'The Sunset Room' Peaceful, Clear Home",1582810,Wendy,,Easton,51.46641,-2.55533,Private room,38,6,31,2022-11-29,0.46,3,169,7,
341227,Listed Georgian house in the heart of Bristol.,237360,Samantha,,Ashley,51.46661,-2.58709,Entire home/apt,664,2,109,2022-10-02,0.84,1,89,11,
390781,"Cosy large room nr TV studios, Paintworks & stores",1954565,Fiona,,Brislington West,51.44429,-2.55777,Private room,35,2,51,2022-11-03,0.39,2,0,7,
392215,"home from home, large double, light",1961385,Bea,,Brislington East,51.44177,-2.53744,Private room,19,90,25,2019-12-08,0.19,2,117,0,
399681,Historic Trym House - five star!,1941316,Kevin & Lesley,,Westbury-on-Trym & Henleaze,51.49508,-2.61715,Private room,80,2,91,2022-08-30,0.72,1,114,15,
407485,Bristol Luxury Garden Apartment,2029719,Ingrid,,Ashley,51.46941,-2.58166,Entire home/apt,93,2,312,2022-12-11,2.40,1,281,35,
421205,Paws welcome!,2094659,Lis,,Ashley,51.46547,-2.58458,Private room,35,1,190,2022-11-27,1.50,1,364,20,
422956,Modern inner city 3 bed eco house,2103297,Lois,,Redland,51.47331,-2.60598,Entire home/apt,205,2,395,2022-12-04,3.04,2,311,37,
554813,Central Double Room With Your Own Bathroom,2727252,Rich & Ray,,Lawrence Hill,51.45591,-2.57803,Private room,76,1,239,2022-12-11,1.87,1,44,48,
753655,Edwardian house in central Bristol,3647954,Cath,,Southville,51.44553,-2.60413,Private room,63,2,292,2022-10-24,2.40,3,162,20,
758894,"Clifton Village, superfast internet, car permits",3996407,Joanna,,Clifton,51.45524,-2.62168,Entire home/apt,163,3,450,2022-12-17,3.65,1,341,31,
832235,Luxury Double En Suite Bedroom,4356624,Claire,,Southville,51.44201,-2.61939,Private room,75,1,98,2022-09-05,1.05,1,355,3,
